id,src,tgt,score,status,flag_reason
245,"Forewings and hindwings sometimes overlap, assisting in lift and overall aerial stability.","As patas dianteiras e as asas traseiras às vezes se sobrepõem, auxiliando no levantamento e na estabilidade aérea geral.",,flagged,Length ratio out of bounds (1.58)
277,"Helix shells show a perfect, symmetrical spiral growth pattern over time.",As conchas de hélice mostram um padrão de crescimento espiral perfeito e simétrico ao longo do tempo.,,flagged,Length ratio out of bounds (1.55)
309,"Engineers are investigating spider silk's tensile strength for lightweight, durable materials.",Os engenheiros estão investigando a resistência à tração da seda da aranha para materiais leves e duráveis.,,flagged,Length ratio out of bounds (1.55)
389,Mulching around plants retains moisture and suppresses weeds naturally and effectively.,Mulching em torno de plantas retém a umidade e suprime ervas daninhas de forma natural e eficaz.,,flagged,Length ratio out of bounds (1.55)
431,"Teak wood naturally contains oils, contributing to its durable, weather-resistant grain.","A madeira de teca naturalmente contém óleos, contribuindo para o seu grão durável e resistente às intempéries.",,flagged,Length ratio out of bounds (1.55)
447,Passion flower vines often utilize twining patterns to reach sunlight sources.,As videiras de flores de paixão muitas vezes utilizam padrões de entrelaçamento para alcançar fontes de luz solar.,,flagged,Length ratio out of bounds (1.64)
513,"The specialized cushion plants, such as *Silene acaulis*, thrive in high-altitude rocky soil, minimizing exposure to brutal mountain winds.","As plantas de almofadas especializadas, como *Silene acaulis*, prosperam em solo rochoso de alta altitude, minimizando a exposição a ventos de montanha brutais.",,flagged,HTML/Markdown detected in target
520,"River basin dynamics are influenced by geological forces and climate change. Erosion rates dictate sediment transport, shaping the river's floodplain and delta over millennia.","As dinâmicas das bacias hidrográficas são influenciadas pelas forças geológicas e pelas mudanças climáticas. As taxas de erosão ditam o transporte de sedimentos, moldando a planície de inundação e o delta do rio ao longo de milênios.",,flagged,Length ratio out of bounds (1.54)
524,"Human interventions, like dam construction, drastically alter natural basin dynamics. Flow regulation impacts downstream ecosystems, reducing natural sediment replenishment vital for delta maintenance.","As intervenções humanas, como a construção de barragens, alteram drasticamente a dinâmica da bacia natural. A regulação do fluxo afeta os ecossistemas a jusante, reduzindo o reabastecimento natural de sedimentos vital para a manutenção do delta.",,flagged,Length ratio out of bounds (1.57)
601,"Specialized cushion plants, such as *Silene acaulis*, are characteristic of alpine zones. They minimize heat loss and survive intense freeze-thaw cycles.","As plantas de almofadas especializadas, como *Silene acaulis*, são características das zonas alpinas. Eles minimizam a perda de calor e sobrevivem a ciclos intensos de congelamento.",,flagged,HTML/Markdown detected in target
683,"These tropical rivers experience seasonal flooding, creating vast flooded forests called *várzea*. This cycle supports specialized wildlife and riverine agriculture.","Estes rios tropicais experimentam inundações sazonais, criando vastas florestas inundadas chamadas *várzea*. Este ciclo apoia a vida selvagem especializada e a agricultura fluvial.",,flagged,HTML/Markdown detected in target
900,"Deep-sea plastic accumulation threatens undiscovered biodiversity, highlighting how pollution impacts even remote oceanic zones.","A acumulação de plástico no fundo do mar ameaça a biodiversidade desconhecida, destacando como a poluição afeta até mesmo zonas oceânicas remotas.",,flagged,Length ratio out of bounds (1.57)
901,"Ghost fishing gear—lost nets and traps—continue trapping and injuring marine life indiscriminately, necessitating better waste retrieval.","As artes de pesca fantasma redes e armadilhas perdidas continuam a aprisionar e ferir indiscriminadamente a vida marinha, necessitando de uma melhor recuperação de resíduos.",,flagged,Length ratio out of bounds (1.56)
